iter	RMSE
187	38.18930786
188	38.1583293
189	38.1304537
190	38.11134375
191	38.06428113
192	38.02999121
193	37.95917489
194	37.93932492
195	37.92584668
196	37.89070086
197	37.87128878
198	37.84405523
199	37.8037377
200	37.77693612
201	37.734741
202	37.71255573
203	37.69718518
204	37.66560382
205	37.63604133
206	37.58988471
207	37.57133136
208	37.54453881
209	37.52674264
210	37.48830098
211	37.47403256
212	37.45489465
213	37.42090159
214	37.4004214
215	37.37903819
216	37.34788264
217	37.32846905
218	37.30262699
219	37.27237088
220	37.23772292
221	37.2129085
222	37.18853501
223	37.16381397
224	37.13695217
225	37.11996489
226	37.08772655
227	37.05144246
228	37.02692694
229	37.0014595
230	36.95457838
231	36.93021948
232	36.8984028
233	36.86937173
234	36.83527309
235	36.81728166
236	36.80060654
237	36.77030618
238	36.75201173
239	36.71348367
240	36.68731503
241	36.66575008
242	36.64854415
243	36.62764889
244	36.57991958
245	36.55161155
246	36.52614005
247	36.49639483
248	36.47676358
249	36.45357229
250	36.43082432
251	36.40390209
252	36.36471875
253	36.34464848
254	36.31962547
255	36.29754329
256	36.25664571
257	36.24594633
258	36.21982533
259	36.19455851
260	36.16400862
261	36.13095903
262	36.09871197
263	36.07812676
264	36.03466108
265	36.01540061
266	36.00146433
267	35.9620558
268	35.92751158
269	35.90346042
270	35.88359442
271	35.86230141
272	35.83407681
273	35.80893291
274	35.7824741
275	35.76307185
276	35.72771378
277	35.70619399
278	35.67834685
279	35.6615068
280	35.65072853
281	35.63445821
282	35.61439577
283	35.57957663
284	35.54466596
285	35.49661117
286	35.47625694
287	35.45367735
288	35.41046712
289	35.39373849
290	35.36810717
291	35.35121986
292	35.32636847
293	35.29179927
294	35.27313614
295	35.25170775
296	35.2144222
297	35.19176909
298	35.17972708
299	35.16325954
300	35.14397799
301	35.12310116
302	35.11074746
303	35.08990062
304	35.05643081
305	35.04213438
306	35.01661766
307	34.97804952
308	34.95866716
309	34.93776738
310	34.92140465
311	34.89875593
312	34.88279011
313	34.8535493
314	34.82607178
315	34.79488389
316	34.78114453
317	34.76452087
318	34.74387922
319	34.72026857
320	34.68731192
321	34.66480851
322	34.65146307
323	34.63064491
324	34.59240388
325	34.57864036
326	34.55781311
327	34.54017051
328	34.51173292
329	34.49196922
330	34.46929358
331	34.44943002
332	34.42743332
333	34.40499565
334	34.38811105
335	34.37160786
336	34.32346687
337	34.30803338
338	34.29021778
339	34.27606906
340	34.25435785
341	34.23908292
342	34.22730077
343	34.21526692
344	34.19725573
345	34.15853472
346	34.14246947
347	34.11122863
348	34.09174712
349	34.07725852
350	34.05603579
351	34.02525895
352	34.01277812
353	34.00053533
354	33.98477288
355	33.96955861
356	33.95415323
357	33.94110489
358	33.91557148
359	33.90291907
360	33.89138684
361	33.86509156
362	33.85308008
363	33.82195379
364	33.80525437
365	33.7951623
366	33.76261413
367	33.75228486
368	33.73960002
369	33.72548771
370	33.70748367
371	33.68341267
372	33.66512724
373	33.64448235
374	33.61902465
375	33.59050445
376	33.55870196
377	33.53988333
378	33.50535905
379	33.47808352
380	33.4667969
381	33.45719446
382	33.43980276
383	33.42236725
384	33.3888894
385	33.37695269
386	33.36208188
387	33.34506336
388	33.31762433
389	33.29222482
390	33.28022632
391	33.25456455
392	33.24222139
393	33.21904643
394	33.20349232
395	33.18377981
396	33.16734841
397	33.15534509
398	33.13758336
399	33.12520573
400	33.11257978
401	33.09353949
402	33.06363157
403	33.04596047
404	33.04264513
405	33.01917254
406	33.0050793
407	32.98442977
408	32.96637264
409	32.94667903
410	32.93098537
411	32.91475736
412	32.90263361
413	32.8877739
414	32.87108067
415	32.8609075
416	32.85073214
417	32.84308155
418	32.82423154
419	32.80355296
420	32.79233838
421	32.78228762
422	32.77055419
423	32.74522416
424	32.72586861
425	32.6986691
426	32.68946006
427	32.6802754
428	32.66140017
429	32.65064693
430	32.63560828
431	32.61330733
432	32.59986181
433	32.58543359
434	32.56480434
435	32.54859547
436	32.52013334
437	32.50650451
438	32.49639066
439	32.4811947
440	32.46131179
441	32.43091104
442	32.40031588
443	32.38767797
444	32.36908993
445	32.34987551
446	32.32923216
447	32.31673178
448	32.29904011
449	32.27749636
450	32.25871785
451	32.24225671
452	32.21357307
453	32.19598068
454	32.17588614
455	32.16667078
456	32.16001609
457	32.15033131
458	32.13568995
459	32.1264036
460	32.11641506
461	32.09747962
462	32.08434792
463	32.07400217
464	32.06537142
465	32.04890507
466	32.03419953
467	32.02178824
468	32.00123469
469	31.98353981
470	31.97056158
471	31.9539436
472	31.94808518
473	31.93513275
474	31.9186367
475	31.90502057
476	31.88443355
477	31.87748838
478	31.8493438
479	31.83445561
480	31.82050303
481	31.80904172
482	31.79859589
483	31.78097917
484	31.75360458
485	31.73845407
486	31.72933082
487	31.72112296
488	31.70591215
489	31.6946048
490	31.67834806
491	31.66231125
492	31.65414723
493	31.64042735
494	31.62410631
495	31.61355583
496	31.60027803
497	31.58964183
498	31.5673598
499	31.55573798
