iter	RMSE
0	136.650417
1	131.3498184
2	126.5619107
3	121.9217244
4	117.396418
5	113.257982
6	109.214039
7	105.57372
8	102.0497343
9	98.72489476
10	95.52239663
11	92.60723737
12	89.9321999
13	87.19557312
14	84.61802968
15	82.19680072
16	80.00632007
17	77.86045677
18	75.8680237
19	73.99176532
20	72.14649858
21	70.42615791
22	68.79513487
23	67.26644851
24	65.840672
25	64.56383434
26	63.33379753
27	62.05318138
28	60.91296635
29	59.86843323
30	58.85261632
31	57.92747308
32	57.0521498
33	56.23589338
34	55.48067045
35	54.71635969
36	54.04330535
37	53.39677871
38	52.78256183
39	52.16439853
40	51.58496223
41	51.04619767
42	50.57427128
43	50.08244874
44	49.64977689
45	49.25368283
46	48.84616315
47	48.48055742
48	48.13082164
49	47.81033502
50	47.49339272
51	47.20711539
52	46.91036197
53	46.64590491
54	46.31993461
55	46.08735217
56	45.83710825
57	45.6450065
58	45.43271915
59	45.22940555
60	45.05019505
61	44.86789899
62	44.69770838
63	44.54254733
64	44.40089431
65	44.24994211
66	44.11604152
67	43.97210275
68	43.85329232
69	43.74949466
70	43.65183791
71	43.54323598
72	43.44059952
73	43.31919606
74	43.22096672
75	43.13995307
76	43.04204317
77	42.95524028
78	42.86628792
79	42.76590072
80	42.6706504
81	42.58251715
82	42.50631715
83	42.44085296
84	42.37081049
85	42.30297876
86	42.23110693
87	42.17362856
88	42.07377675
89	42.00720007
90	41.9604154
91	41.87077483
92	41.76605047
93	41.71460116
94	41.65085541
95	41.60239864
96	41.56566151
97	41.5156998
98	41.4658559
99	41.41174303
100	41.36862416
101	41.32151529
102	41.28245363
103	41.24278186
104	41.19043152
105	41.14429835
106	41.07810843
107	41.0435109
108	40.98183536
109	40.95183598
110	40.92334868
111	40.87248491
112	40.80709124
113	40.76975164
114	40.73763513
115	40.70245155
116	40.66900694
117	40.63860854
118	40.61073427
119	40.56450956
120	40.50967494
121	40.48262781
122	40.44325272
123	40.38766878
124	40.35187542
125	40.31874983
126	40.28054938
127	40.24813905
128	40.19434931
129	40.15972715
130	40.12858861
131	40.06507419
132	40.04353255
133	40.01704785
134	39.98088767
135	39.95576138
136	39.9025773
137	39.84224679
138	39.82258638
139	39.78601248
140	39.73156947
141	39.69627685
142	39.66802375
143	39.63162438
144	39.61828623
145	39.57470603
146	39.52689297
147	39.50301737
148	39.46707446
149	39.39086829
150	39.33336669
151	39.29077608
152	39.25612714
153	39.22356707
154	39.18441183
155	39.16107496
156	39.1363736
157	39.09418561
158	39.07251459
159	39.03948392
160	39.01972222
161	38.99192521
162	38.97133158
163	38.94524524
164	38.91531536
165	38.88407844
166	38.82458855
167	38.79469762
168	38.77231872
169	38.74447967
170	38.71098449
171	38.69040662
172	38.6366289
173	38.61421731
174	38.59068574
175	38.56272382
176	38.5082702
177	38.48613215
178	38.45549439
179	38.43182306
180	38.40565621
181	38.38242622
182	38.34954344
183	38.31237014
184	38.28992747
185	38.2596646
186	38.23402527
